LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,2020,56000.130076,
AUT,GDP,TOT,USD_CAP,A,2020,57235.673886,
BEL,GDP,TOT,USD_CAP,A,2020,54652.164337,
CAN,GDP,TOT,USD_CAP,A,2020,47226.357276,
CZE,GDP,TOT,USD_CAP,A,2020,42817.867499,
DNK,GDP,TOT,USD_CAP,A,2020,60768.060489,
FIN,GDP,TOT,USD_CAP,A,2020,52294.342491,
FRA,GDP,TOT,USD_CAP,A,2020,47982.359606,
DEU,GDP,TOT,USD_CAP,A,2020,56454.181109,P
GRC,GDP,TOT,USD_CAP,A,2020,28349.491127,
HUN,GDP,TOT,USD_CAP,A,2020,34169.922355,
ISL,GDP,TOT,USD_CAP,A,2020,54330.385248,
IRL,GDP,TOT,USD_CAP,A,2020,94646.640757,
ITA,GDP,TOT,USD_CAP,A,2020,43150.115981,
JPN,GDP,TOT,USD_CAP,A,2020,41867.153393,
KOR,GDP,TOT,USD_CAP,A,2020,44694.939796,
LUX,GDP,TOT,USD_CAP,A,2020,119407.898814,
MEX,GDP,TOT,USD_CAP,A,2020,18978.937139,
NLD,GDP,TOT,USD_CAP,A,2020,59821.266235,
NZL,GDP,TOT,USD_CAP,A,2020,45457.178769,
NOR,GDP,TOT,USD_CAP,A,2020,65135.920669,
POL,GDP,TOT,USD_CAP,A,2020,34896.8226,
PRT,GDP,TOT,USD_CAP,A,2020,34955.61156,
SVK,GDP,TOT,USD_CAP,A,2020,32912.709886,
ESP,GDP,TOT,USD_CAP,A,2020,38030.728528,
SWE,GDP,TOT,USD_CAP,A,2020,56140.551353,
CHE,GDP,TOT,USD_CAP,A,2020,71010.450577,
TUR,GDP,TOT,USD_CAP,A,2020,27973.899303,
GBR,GDP,TOT,USD_CAP,A,2020,45756.801675,
USA,GDP,TOT,USD_CAP,A,2020,63480.861222,
CHL,GDP,TOT,USD_CAP,A,2020,24738.720579,
CHN,GDP,TOT,USD_CAP,A,2020,17176.865661,
COL,GDP,TOT,USD_CAP,A,2020,15614.989482,P
EST,GDP,TOT,USD_CAP,A,2020,39460.614767,
IND,GDP,TOT,USD_CAP,A,2020,6643.799897,
IDN,GDP,TOT,USD_CAP,A,2020,12224.985526,
ISR,GDP,TOT,USD_CAP,A,2020,40073.058669,
RUS,GDP,TOT,USD_CAP,A,2020,29819.046969,E
SVN,GDP,TOT,USD_CAP,A,2020,40885.50612,
ZAF,GDP,TOT,USD_CAP,A,2020,13716.632593,
OECD,GDP,TOT,USD_CAP,A,2020,45378.713391,P
OECDE,GDP,TOT,USD_CAP,A,2020,44633.852096,P
LVA,GDP,TOT,USD_CAP,A,2020,32810.267063,
BRA,GDP,TOT,USD_CAP,A,2020,15173.607426,
LTU,GDP,TOT,USD_CAP,A,2020,40211.863803,
SAU,GDP,TOT,USD_CAP,A,2020,46378.343249,
EA19,GDP,TOT,USD_CAP,A,2020,48285.783019,
ARG,GDP,TOT,USD_CAP,A,2020,20763.271623,
CRI,GDP,TOT,USD_CAP,A,2020,21755.528069,
BGR,GDP,TOT,USD_CAP,A,2020,25280.885314,
HRV,GDP,TOT,USD_CAP,A,2020,29759.806581,
CYP,GDP,TOT,USD_CAP,A,2020,41421.822429,
MLT,GDP,TOT,USD_CAP,A,2020,44900.735579,
ROU,GDP,TOT,USD_CAP,A,2020,33279.537142,
MKD,GDP,TOT,USD_CAP,A,2020,17323.102057,E
ZMB,GDP,TOT,USD_CAP,A,2020,3358.004891,
HKG,GDP,TOT,USD_CAP,A,2020,58949.465954,E
MDG,GDP,TOT,USD_CAP,A,2020,1561.08077,E
MAR,GDP,TOT,USD_CAP,A,2020,8051.435771,E
SGP,GDP,TOT,USD_CAP,A,2020,100574.751795,
EU27_2020,GDP,TOT,USD_CAP,A,2020,45877.849649,
ALB,GDP,TOT,USD_CAP,A,2020,14033.967211,P
SRB,GDP,TOT,USD_CAP,A,2020,19547.72567,
GEO,GDP,TOT,USD_CAP,A,2020,14731.202573,
CMR,GDP,TOT,USD_CAP,A,2020,3861.20989,
SEN,GDP,TOT,USD_CAP,A,2020,3513.149951,
